"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "threshold" "external_gene_name"
"1" "ENSDARG00000077456" 43.8298211326646 8.7590708748869 2.75470673279876 9.6243955188745e-09 5.75489815816639e-08 TRUE "si:ch211-113a14.12"
"2" "ENSDARG00000092730" 80312.579522744 8.50728879087638 0.151730690496908 0 0 TRUE "enam"
"3" "ENSDARG00000074132" 1697.47186160814 8.44241310471739 0.398894571145504 2.74784314371114e-99 1.2275324443769e-96 TRUE "scpp7"
"4" "ENSDARG00000088593" 29.8521908756128 8.07601295818237 2.6958788051957 1.19659351430714e-07 6.28166235135801e-07 TRUE "chst1"
"5" "ENSDARG00000079302" 36638.6146592709 7.94529641391149 0.169344334976258 0 0 TRUE "and2"
"6" "ENSDARG00000078622" 516.128211866996 7.68270880701962 0.547124085216321 1.60673281106779e-44 1.12094908483991e-42 TRUE "scpp5"
"10" "ENSDARG00000040703" 21.2230454239603 7.44404445034287 2.65194315029712 1.08958594626641e-06 5.02552239029821e-06 TRUE "BX936415.1"
"11" "ENSDARG00000004199" 21.2695989340844 7.41482494578859 2.67605353916102 1.71991286833534e-06 7.73067619511262e-06 TRUE "spam1"
"12" "ENSDARG00000075598" 173.128186815734 7.41134925739373 0.832439158610925 2.44186694546804e-18 3.97603696582178e-17 TRUE "ambn"
"14" "ENSDARG00000088514" 66967.0305768299 7.37549333917603 0.153526556079545 0 0 TRUE "and1"
"15" "ENSDARG00000045548" 577.57569057347 7.16060798860081 0.459833033109536 7.35551265251988e-55 7.60170275883743e-53 TRUE "lepb"
"16" "ENSDARG00000026972" 14.9260954378064 6.75580202610558 2.61965908139165 9.77773231890818e-06 3.9471484045591e-05 TRUE "si:ch211-119o8.6"
"17" "ENSDARG00000077938" 1327.9288156334 6.73410453631742 0.288818126435985 5.82444078420112e-121 3.66635310000042e-118 TRUE "cd248b"
"18" "ENSDARG00000051718" 14.7239683729042 6.72745266760267 2.61922505803092 1.06901500504814e-05 4.29046639542363e-05 TRUE "si:ch211-113a14.24"
"19" "ENSDARG00000056643" 13.9465451851735 6.60612482432561 2.62307614350423 1.63008608678438e-05 6.35536237973917e-05 TRUE "slc22a7b.1"
"20" "ENSDARG00000039174" 13.6511629046365 6.57442458130406 2.61395290738649 1.6575175929345e-05 6.45424750569083e-05 TRUE "olfm3b"
"21" "ENSDARG00000055527" 6287.3559512733 6.49062113972763 0.174328243299185 1.2483721875998e-304 4.93945206856453e-301 TRUE "cmn"
"22" "ENSDARG00000021948" 20216.0705539726 6.44868935397744 0.170502760727026 0 0 TRUE "tnc"
"23" "ENSDARG00000029898" 12.3606878355274 6.36744292929788 2.60964217958479 2.96312931262058e-05 0.000111175552115487 TRUE "cnga1a"
"24" "ENSDARG00000096045" 143.868123623703 6.19939655599411 0.638583960737685 2.83552125306761e-22 6.2677918712062e-21 TRUE "si:ch73-263o4.4"
"25" "ENSDARG00000051735" 10.9613409171509 6.10033146097898 2.61360196578987 6.23980935767223e-05 0.000222390978996643 TRUE "si:ch211-113a14.18"
"28" "ENSDARG00000076856" 4608.52316902766 5.85030776076789 0.17401577984876 8.0419648599924e-249 2.47487000808011e-245 TRUE "frem2a"
"29" "ENSDARG00000000551" 470.685560654697 5.82431042350299 0.33791722830869 6.33780094264465e-67 9.75211515046827e-65 TRUE "slc1a4"
"31" "ENSDARG00000001452" 4741.86765595123 5.72287921247534 0.173456032938208 5.04076911846762e-240 1.26921983885634e-236 TRUE "adam8a"
"35" "ENSDARG00000039999" 625.427866522705 5.53511720169956 0.284098206651624 4.90249948754534e-85 1.49213767369828e-82 TRUE "slc13a5b"
"36" "ENSDARG00000037997" 6275.83747676253 5.50710364127833 0.222201105550398 6.24544535211799e-137 5.2418212096246e-134 TRUE "tubb5"
"37" "ENSDARG00000070011" 117.648203404953 5.48916084171134 0.578874754905504 1.1836217225805e-21 2.50632804665996e-20 TRUE "hce2l2"
"38" "ENSDARG00000054753" 220772.546547249 5.48685202832901 0.17641981633317 1.57669310415504e-215 3.35920530044479e-212 TRUE "col10a1a"
"39" "ENSDARG00000014465" 154.125248839337 5.44717025026197 0.50823979375182 3.36685031024897e-27 1.01692097102471e-25 TRUE "arhgef25b"
"43" "ENSDARG00000074677" 1225.90307190853 5.35307231319535 0.238224241141464 4.31354575076104e-113 2.25419389922318e-110 TRUE "frem3"
"44" "ENSDARG00000094154" 20.2881449679086 5.35153898206527 1.39341860255428 8.2003701010402e-05 0.000285872436360617 TRUE "hist2h3c"
"46" "ENSDARG00000013460" 617.75472882856 5.28992165843456 0.271223511794092 1.35450648835262e-85 4.263155250898e-83 TRUE "wfikkn2a"
"49" "ENSDARG00000056781" 109.1347907526 5.21062460808731 0.567699066821653 1.61157225809744e-20 3.1566985030074e-19 TRUE "zanl"
