"uninjured_rep1" "uninjured_rep2" "regen_rep1" "regen_rep2"
"ENSDARG00000000001" 439 365 767 641
"ENSDARG00000000002" 194 170 1496 985
"ENSDARG00000000018" 846 656 1398 1407
"ENSDARG00000000019" 2381 2309 5078 5484
"ENSDARG00000000068" 645 516 1029 987
"ENSDARG00000000069" 864 821 2643 2758
"ENSDARG00000000086" 3279 2917 5012 4677
"ENSDARG00000000102" 355 263 275 284
"ENSDARG00000000103" 2563 2200 6946 6616
"ENSDARG00000000142" 395 456 534 655
"ENSDARG00000000151" 877 784 453 505
"ENSDARG00000000161" 90 85 137 146
"ENSDARG00000000183" 597 455 293 342
"ENSDARG00000000189" 1663 1531 2478 2338
"ENSDARG00000000212" 57630 56263 42588 44877
"ENSDARG00000000229" 177 196 425 502
"ENSDARG00000000241" 860 803 1862 1806
"ENSDARG00000000324" 1938 1769 1730 1761
"ENSDARG00000000349" 14 21 56 55
"ENSDARG00000000369" 30 12 11 22
"ENSDARG00000000370" 1445 1337 2894 2874
"ENSDARG00000000380" 0 11 19 22
"ENSDARG00000000384" 784 865 1074 1004
"ENSDARG00000000394" 2399 2224 3768 3703
"ENSDARG00000000423" 152 192 500 434
"ENSDARG00000000442" 539 530 2361 2495
"ENSDARG00000000460" 48 20 7 10
"ENSDARG00000000472" 5 3 14 7
"ENSDARG00000000476" 220 182 269 280
"ENSDARG00000000489" 1335 1078 1968 1905
"ENSDARG00000000503" 81 70 71 82
"ENSDARG00000000516" 10 19 31 29
"ENSDARG00000000529" 483 413 731 774
"ENSDARG00000000540" 478 426 958 1035
"ENSDARG00000000542" 822 803 1293 1313
"ENSDARG00000000551" 17 10 1114 1090
"ENSDARG00000000563" 15 9 38 44
"ENSDARG00000000567" 424 355 1001 955
"ENSDARG00000000568" 1054 870 1212 1294
"ENSDARG00000000588" 416 430 469 469
"ENSDARG00000000606" 806 698 480 577
"ENSDARG00000000631" 1918 1784 2684 3209
"ENSDARG00000000651" 50 55 148 134
"ENSDARG00000000656" 1664 1182 2244 2745
"ENSDARG00000000666" 1238 1207 1361 1369
"ENSDARG00000000690" 419 368 1366 1488
"ENSDARG00000000729" 363 327 759 679
"ENSDARG00000000730" 201 198 403 483
"ENSDARG00000000747" 139 138 212 230
"ENSDARG00000000760" 102 93 402 455
"ENSDARG00000000767" 227 200 998 673
"ENSDARG00000000779" 988 957 2822 2349
"ENSDARG00000000796" 4367 2257 725 268
"ENSDARG00000000804" 654 601 408 525
"ENSDARG00000000830" 292 258 525 519
"ENSDARG00000000837" 1295 1312 981 1109
"ENSDARG00000000853" 3773 1873 2622 2414
"ENSDARG00000000857" 2199 2199 2884 3066
"ENSDARG00000000861" 3581 3088 3576 3683
"ENSDARG00000000887" 0 0 8 7
"ENSDARG00000000906" 244 199 337 252
"ENSDARG00000000935" 2903 2676 2250 2930
"ENSDARG00000000943" 456 387 1053 1031
"ENSDARG00000000966" 3434 2784 5453 5449
"ENSDARG00000000972" 7809 7907 8075 8551
"ENSDARG00000001009" 359 252 148 165
"ENSDARG00000001014" 12386 10843 30033 27234
"ENSDARG00000001015" 547 417 750 865
"ENSDARG00000001057" 1639 1012 2320 2166
"ENSDARG00000001127" 50 39 19 38
"ENSDARG00000001129" 1440 1335 2139 2095
"ENSDARG00000001154" 79 65 64 62
"ENSDARG00000001162" 1698 1454 1941 2144
"ENSDARG00000001169" 77 59 118 114
"ENSDARG00000001210" 386 350 1006 1043
"ENSDARG00000001220" 7807 6424 6904 7050
"ENSDARG00000001234" 566 450 490 590
"ENSDARG00000001241" 2564 2292 4886 5106
"ENSDARG00000001244" 7271 6090 5633 5951
"ENSDARG00000001249" 147 125 147 168
"ENSDARG00000001259" 34707 15555 22461 22493
"ENSDARG00000001285" 1314 1006 1689 1667
"ENSDARG00000001303" 10587 7958 10192 12009
"ENSDARG00000001313" 34 48 947 955
"ENSDARG00000001354" 11 9 5 8
"ENSDARG00000001414" 921 921 576 705
"ENSDARG00000001431" 223 217 277 342
"ENSDARG00000001437" 7 5 10 16
"ENSDARG00000001442" 854 786 2105 2095
"ENSDARG00000001447" 691 507 949 1045
"ENSDARG00000001452" 146 149 11044 11133
"ENSDARG00000001463" 41 80 41 33
"ENSDARG00000001470" 5352 4312 3051 3116
"ENSDARG00000001498" 178 162 183 235
"ENSDARG00000001549" 304 293 574 627
"ENSDARG00000001557" 357 435 1150 1215
"ENSDARG00000001558" 122 160 2410 2128
"ENSDARG00000001559" 683 710 555 632
"ENSDARG00000001572" 13 5 7 5
"ENSDARG00000001578" 881 895 2076 2362
"ENSDARG00000001621" 716 791 711 839
"ENSDARG00000001634" 920 773 3396 3513
"ENSDARG00000001637" 197 218 602 542
"ENSDARG00000001656" 7028 5557 7358 8777
"ENSDARG00000001676" 2466 2600 5244 5134
"ENSDARG00000001686" 47 52 123 172
"ENSDARG00000001710" 199 227 282 223
"ENSDARG00000001712" 19 19 26 29
"ENSDARG00000001721" 4 3 3 2
"ENSDARG00000001729" 1957 1665 3318 3257
"ENSDARG00000001733" 562 581 3454 4002
"ENSDARG00000001734" 619 584 920 862
"ENSDARG00000001754" 728 709 1606 1730
"ENSDARG00000001760" 105 101 794 699
"ENSDARG00000001767" 5664 5423 12514 12006
"ENSDARG00000001769" 4273 3704 5417 5190
"ENSDARG00000001771" 73 57 18 23
"ENSDARG00000001776" 247 264 277 339
"ENSDARG00000001777" 1334 1037 2789 2674
"ENSDARG00000001781" 1363 1043 1257 1464
"ENSDARG00000001782" 306 251 281 309
"ENSDARG00000001784" 239 199 198 272
"ENSDARG00000001785" 74 34 84 92
"ENSDARG00000001788" 6033 4213 8196 8040
"ENSDARG00000001803" 385 320 179 220
"ENSDARG00000001804" 773 594 308 475
"ENSDARG00000001807" 1176 1350 1523 1636
"ENSDARG00000001817" 110 88 129 124
"ENSDARG00000001818" 1364 1501 1000 1144
"ENSDARG00000001825" 78 100 218 237
"ENSDARG00000001829" 3330 3362 2506 3216
"ENSDARG00000001832" 8392 8370 4421 4662
"ENSDARG00000001835" 1936 2241 1417 1815
"ENSDARG00000001857" 1311 982 1563 1572
"ENSDARG00000001870" 687 554 930 890
"ENSDARG00000001873" 1304 1104 6272 6206
"ENSDARG00000001879" 5423 5447 5419 6620
"ENSDARG00000001880" 411 451 414 506
"ENSDARG00000001881" 362 266 148 191
"ENSDARG00000001882" 0 0 7 9
"ENSDARG00000001888" 424 397 565 719
"ENSDARG00000001889" 616 664 7967 6585
"ENSDARG00000001890" 2400 2117 9025 8338
"ENSDARG00000001891" 70 85 92 84
"ENSDARG00000001897" 1393 1132 3094 2717
"ENSDARG00000001898" 347 318 648 832
"ENSDARG00000001906" 16 10 12 7
"ENSDARG00000001909" 145 146 88 110
"ENSDARG00000001910" 1997 1859 1269 1335
"ENSDARG00000001912" 25 22 15 21
"ENSDARG00000001913" 4 6 4 7
"ENSDARG00000001915" 1 1 27 25
"ENSDARG00000001929" 797 749 652 648
"ENSDARG00000001930" 306 292 430 511
"ENSDARG00000001933" 1155 909 469 572
"ENSDARG00000001937" 9 15 20 15
"ENSDARG00000001939" 291 332 1003 1060
"ENSDARG00000001940" 973 816 3277 3502
"ENSDARG00000001950" 12210 6725 3166 3257
"ENSDARG00000001953" 307 352 652 611
"ENSDARG00000001968" 1115 858 967 1186
"ENSDARG00000001969" 392 321 555 576
"ENSDARG00000001971" 78 78 106 127
"ENSDARG00000001972" 3527 2567 2065 1981
"ENSDARG00000001975" 317 516 2437 2913
"ENSDARG00000001976" 258 243 144 171
"ENSDARG00000001993" 34 44 57 82
"ENSDARG00000001994" 68 50 73 82
"ENSDARG00000001999" 96 78 713 616
"ENSDARG00000002002" 160 115 723 711
"ENSDARG00000002006" 1383 1183 1453 1675
"ENSDARG00000002013" 1128 1882 1194 1387
"ENSDARG00000002016" 573 628 1119 1166
"ENSDARG00000002020" 1396 1019 1263 1240
"ENSDARG00000002021" 1802 1805 3491 3309
"ENSDARG00000002026" 289 282 748 552
"ENSDARG00000002031" 547 512 1287 1212
"ENSDARG00000002037" 240 240 123 157
"ENSDARG00000002046" 130 122 204 170
"ENSDARG00000002060" 94 89 148 177
"ENSDARG00000002071" 865 861 810 887
"ENSDARG00000002077" 145 134 297 325
"ENSDARG00000002082" 3122 2396 6709 5916
"ENSDARG00000002084" 449 444 533 573
"ENSDARG00000002097" 985 1071 501 613
"ENSDARG00000002127" 523 495 1378 1347
"ENSDARG00000002128" 403 379 840 769
"ENSDARG00000002129" 23 12 12 10
"ENSDARG00000002131" 2883 2396 4141 4356
"ENSDARG00000002148" 1572 1567 2036 2240
"ENSDARG00000002165" 3092 2621 4766 4736
"ENSDARG00000002167" 285 280 409 460
"ENSDARG00000002168" 1407 1285 1434 1557
"ENSDARG00000002172" 53 28 117 138
"ENSDARG00000002174" 289 240 451 565
"ENSDARG00000002184" 641 630 1618 1653
"ENSDARG00000002190" 2301 2325 2108 2434
"ENSDARG00000002192" 2241 2921 23647 20315
"ENSDARG00000002194" 112 138 108 142
"ENSDARG00000002196" 560 325 758 973
"ENSDARG00000002197" 9 11 41 44
"ENSDARG00000002204" 5 7 5 3
"ENSDARG00000002210" 307 328 428 509
"ENSDARG00000002213" 310 271 930 861
"ENSDARG00000002215" 510 571 2778 2714
"ENSDARG00000002216" 521 383 473 443
"ENSDARG00000002217" 125 98 597 625
"ENSDARG00000002219" 407 374 504 486
"ENSDARG00000002220" 418 361 612 611
"ENSDARG00000002226" 101 98 82 98
"ENSDARG00000002230" 61 72 100 100
"ENSDARG00000002231" 666 548 620 842
"ENSDARG00000002235" 4543 4552 26214 22684
"ENSDARG00000002240" 2085 1175 4088 4593
"ENSDARG00000002249" 2618 2528 2844 2889
"ENSDARG00000002255" 109 73 292 245
